idx,pattern,mean_loss,std_loss
0,stable,0.028533334,0.022019759
1,stable,0.051637944,0.07704748
2,stable,0.036899146,0.008344446
3,stable,0.036324866,0.0073004267
4,rising,0.05900531,0.103844814
5,rising,0.05028666,0.11741154
6,rising,0.037001863,0.04711922
7,rising,0.030351056,0.00922356
8,rising,0.031855445,0.009993404
9,rising,0.039394606,0.024075035
10,stable,0.025972903,0.0060214354
11,stable,0.02917957,0.007912647
12,stable,0.035633616,0.015884798
13,stable,0.023813741,0.011526488
14,stable,0.02847242,0.017384749
15,stable,0.026112009,0.0121473
16,stable,0.023720507,0.008576572
17,falling,0.03293265,0.039814115
18,falling,0.051059667,0.13501497
19,falling,0.027422328,0.01019094
20,falling,0.025546825,0.015216149
21,falling,0.027300876,0.012072877
22,stable,0.028625973,0.020427078
23,stable,0.03103165,0.08876891
24,stable,0.01580761,0.01400236
25,stable,0.02435986,0.03221929
26,stable,0.032516535,0.094421044
27,stable,0.018472817,0.029499052
28,rising,0.048353806,0.1651421
29,rising,0.018893689,0.023352982
30,rising,0.034488596,0.0880919
31,rising,0.02297557,0.012418435
32,rising,0.025841447,0.042730324
33,rising,0.022421325,0.028263265
34,stable,0.022951016,0.050167445
35,stable,0.019697519,0.0077248598
36,stable,0.027585475,0.014721083
37,stable,0.024635233,0.020001058
38,stable,0.024248684,0.013595496
39,stable,0.030171027,0.023078388
40,falling,0.037477355,0.08366216
41,falling,0.029087376,0.010148126
42,falling,0.035433955,0.013128649
43,falling,0.060093988,0.12981015
44,falling,0.040752765,0.018674318
45,falling,0.061306518,0.13586323
46,stable,0.039387118,0.018722527
47,stable,0.027114177,0.010814348
48,stable,0.03066817,0.037136234
49,stable,0.057616364,0.1615091
50,stable,0.0713841,0.1679034
51,stable,1.5472943,0.19626124
52,rising,2.2780347,0.14059876
53,rising,2.6436281,0.15803313
54,rising,2.722877,0.15953264
55,rising,2.8353682,0.1347244
56,rising,2.8233123,0.17049794
57,rising,2.9162927,0.2170759
58,rising,2.928039,0.22130966
59,stable,3.0152106,0.19263949
60,stable,3.0211217,0.21078691
61,stable,2.946369,0.20881829
62,stable,3.1312742,0.18994008
63,spike,0.38789448,0.41139632
64,spike,0.112597235,0.1991986
65,spike,0.10815574,0.26926264
66,spike,0.10066121,0.28460878
67,spike,0.09551883,0.2730143
68,spike,0.088707365,0.22598934
69,spike,0.053583767,0.062206782
70,spike,0.098908775,0.2503167
71,spike,0.06458697,0.06678933
72,spike,0.12988792,0.3180482
73,spike,0.09556753,0.09893741
74,falling,0.15337382,0.30380383
75,stable,0.13407855,0.17993492
76,stable,0.1465332,0.19444357
77,stable,0.11074208,0.14418566
78,stable,0.1357304,0.18409225
79,rising,0.14416577,0.16016911
80,stable,0.123131864,0.12552156
81,stable,0.09611825,0.07169598
82,stable,0.092840835,0.09300623
83,stable,0.10326639,0.10497491
84,stable,0.076425955,0.029512156
85,stable,0.077934764,0.023553863
86,stable,0.0846538,0.04121525
87,falling,0.081159614,0.048680313
88,falling,0.095934086,0.04895338
89,falling,0.1053448,0.08933774
90,falling,0.088757835,0.056241393
91,falling,0.08901697,0.14634661
92,stable,0.102291234,0.18053763
93,stable,0.064017184,0.04008708
94,stable,0.049955912,0.062478267
95,stable,0.06643482,0.23013715
96,stable,0.0408582,0.05200908
97,stable,0.03240875,0.016704874
98,stable,0.06862735,0.20309854
99,stable,0.04010211,0.045282003
100,rising,0.052097056,0.079668395
101,rising,0.07402123,0.17090584
102,rising,0.061216187,0.11592736
