idx,pattern,mean_loss,std_loss
0,stable,0.029021164,0.009550095
1,stable,0.03656335,0.008363218
2,stable,0.03313806,0.0058508613
3,stable,0.056991756,0.130565
4,rising,0.037342668,0.0106423395
5,rising,0.036807716,0.04219925
6,rising,0.031223055,0.0065657366
7,rising,0.033563156,0.007625369
8,rising,0.034423996,0.011310146
9,rising,0.036069266,0.008962533
10,stable,0.028778085,0.010088049
11,stable,0.034661066,0.013196393
12,stable,0.04751378,0.09125866
13,stable,0.05000554,0.016920839
14,stable,0.031827603,0.01108935
15,stable,0.046805147,0.07843193
16,stable,0.027571939,0.009702432
17,falling,0.03684909,0.044455856
18,falling,0.02997998,0.017072434
19,falling,0.02594858,0.015446328
20,falling,0.02918143,0.03358595
21,falling,0.031641018,0.021957887
22,stable,0.034977194,0.057053268
23,stable,0.061203476,0.23382652
24,stable,0.017394116,0.01640547
25,stable,0.013168304,0.00671919
26,stable,0.013671057,0.003465935
27,stable,0.014504205,0.0082356995
28,rising,0.016556289,0.008824447
29,rising,0.017532593,0.027293846
30,rising,0.01587519,0.010475808
31,rising,0.01569801,0.0077219633
32,rising,0.014411258,0.0050374228
33,rising,0.019975463,0.027505897
34,stable,0.015668381,0.008511578
35,stable,0.032607798,0.07875632
36,stable,0.046083465,0.15161505
37,stable,0.047472164,0.11872091
38,stable,0.0471198,0.114216074
39,stable,0.033824578,0.011473851
40,falling,0.037382815,0.067227535
41,falling,0.01907319,0.007308027
42,falling,0.03930105,0.067328475
43,falling,0.03214291,0.0141862845
44,falling,0.03562448,0.010684957
45,falling,0.04757561,0.018181205
46,stable,0.06394823,0.058376655
47,stable,0.046191532,0.08892371
48,stable,0.02458876,0.0065809814
49,stable,0.02647943,0.01630642
50,stable,0.032919507,0.0076408437
51,stable,1.5430372,0.041784577
52,rising,2.3176045,0.0802456
53,rising,2.6632893,0.25484774
54,rising,2.7553446,0.13839746
55,rising,2.896808,0.10649324
56,rising,2.9154627,0.1291117
57,rising,2.970684,0.1441649
58,rising,2.9506912,0.095866576
59,stable,2.992801,0.13542558
60,stable,2.905623,0.16785489
61,stable,2.7537963,0.086464204
62,stable,3.3300924,0.19027916
63,spike,0.14923996,0.21663514
64,spike,0.21061438,0.38391262
65,spike,0.25407517,0.42128894
66,spike,0.16583171,0.19082102
67,spike,0.102113344,0.1102237
68,spike,0.081068024,0.032340534
69,spike,0.06255135,0.05232334
70,spike,0.050728615,0.011863195
71,spike,0.05240804,0.015393169
72,spike,0.05682064,0.021550033
73,spike,0.056353085,0.030687459
74,falling,0.07719346,0.19305964
75,stable,0.0671283,0.14003414
76,stable,0.04974279,0.03046244
77,stable,0.047900956,0.022761745
78,stable,0.062037688,0.03047412
79,rising,0.06825627,0.03847952
80,stable,0.047832586,0.025976302
81,stable,0.045076765,0.020247454
82,stable,0.07210762,0.0848435
83,stable,0.08907137,0.03321638
84,stable,0.10000718,0.0750275
85,stable,0.12046246,0.16402629
86,stable,0.08677505,0.034968175
87,falling,0.104116395,0.06706111
88,falling,0.07734492,0.031463943
89,falling,0.06342124,0.021456629
90,falling,0.05799079,0.017869355
91,falling,0.04708355,0.024377218
92,stable,0.04772071,0.02802086
93,stable,0.05115836,0.020889752
94,stable,0.04417501,0.0088594835
95,stable,0.0502577,0.09867242
96,stable,0.06826133,0.0701615
97,stable,0.057224613,0.08987866
98,stable,0.052530706,0.01482036
99,stable,0.049255464,0.014538135
100,rising,0.052913412,0.017508868
101,rising,0.051226947,0.01815945
102,rising,0.06240314,0.031689238
103,rising,0.07036732,0.02915555
104,rising,0.09776893,0.023423253
105,rising,0.09507647,0.067718446
106,rising,0.056796823,0.02542601
107,stable,0.06829656,0.031336088
108,stable,0.11989576,0.04297724
109,stable,0.09305164,0.04590309
110,stable,0.075540535,0.029833188
111,stable,0.07423399,0.13488582
112,falling,0.048219945,0.020838225
113,falling,0.04143155,0.014959795
114,falling,0.037108406,0.00899642
115,falling,0.030682195,0.0079762135
116,falling,0.04140508,0.09896204
117,stable,0.03094634,0.009195471
118,stable,0.028782312,0.0043710195
119,stable,0.030915651,0.011615286
120,stable,0.024283648,0.007913786
121,stable,0.025269806,0.0063135494
122,stable,0.03571866,0.013447499
123,stable,0.03254322,0.011630477
124,rising,0.031471618,0.010243952
125,rising,0.031561468,0.026725965
126,rising,0.04211153,0.0631521
127,rising,0.041541524,0.030085983
128,rising,0.04620566,0.020877125
129,rising,0.034594193,0.015158606
130,stable,0.042782154,0.011905434
131,stable,0.058357142,0.061551504
132,stable,0.058443677,0.0959423
133,stable,0.043484278,0.018918522
134,stable,0.052808095,0.06831982
135,stable,0.060553335,0.046281304
136,stable,0.04938122,0.008077274
137,falling,0.053044137,0.025383519
138,falling,0.04730153,0.012418827
139,falling,0.042189978,0.0082593085
140,falling,0.042578567,0.03191298
141,falling,0.053759005,0.061756402
142,stable,0.041331112,0.03231826
143,stable,0.032972712,0.022972502
144,stable,0.026402978,0.013585558
145,stable,0.066049285,0.105320275
146,stable,0.03992178,0.014832847
147,stable,0.036246367,0.014543248
148,stable,0.06609632,0.123312846
149,rising,0.046598382,0.017716441
150,rising,0.05602878,0.020374529
151,rising,0.05030757,0.012795195
152,rising,0.049425352,0.0148607595
153,stable,0.06908674,0.14102007
154,stable,0.04956664,0.021259634
155,stable,0.04245489,0.014574481
156,stable,0.05104632,0.02543201
157,stable,0.03910782,0.06057409
158,stable,0.0522212,0.15978575
159,stable,0.03745179,0.0867169
160,falling,0.032017976,0.044101022
161,falling,0.028893357,0.011507695
162,falling,0.03138689,0.011269464
163,falling,0.03009652,0.013883488
164,falling,0.018949684,0.008806647
165,falling,0.019133633,0.0045045093
166,stable,0.019450847,0.009906774
167,stable,0.03382155,0.0053120228
168,stable,0.04942157,0.015448982
169,stable,0.051725104,0.011107657
170,stable,0.053272817,0.03384386
171,stable,0.06193597,0.10048433
172,rising,0.048564307,0.009621624
173,rising,0.049856585,0.016140006
174,rising,0.05616117,0.012295361
175,rising,0.055626918,0.013661932
176,rising,0.05935106,0.020879801
177,rising,0.06599344,0.03555627
178,stable,0.07739899,0.035583396
179,stable,0.06430079,0.013876899
180,stable,0.07515527,0.02086421
181,stable,0.085565686,0.10757449
182,stable,0.06481342,0.020203512
183,stable,0.09188119,0.12567237
184,falling,0.097231835,0.07264249
185,falling,0.1044522,0.03860552
186,falling,0.124698654,0.03503137
187,falling,0.11010732,0.037244506
188,falling,0.11373144,0.022992667
189,falling,0.097072475,0.025025755
190,falling,0.08740966,0.02116203
191,stable,0.070380226,0.00829527
192,stable,0.07495557,0.008726285
193,stable,0.09790269,0.120586745
194,stable,0.08319529,0.00727681
195,stable,0.07997635,0.012541969
196,stable,0.1022652,0.12174417
197,rising,0.06560369,0.012899491
198,rising,0.07676413,0.032119136
199,rising,0.07028966,0.018953787
200,rising,0.047110055,0.0096371565
201,rising,0.04728899,0.010364914
202,stable,0.026622383,0.014965014
203,stable,0.022410996,0.007624824
204,stable,0.025225066,0.006237488
205,stable,0.06863121,0.17931482
206,stable,0.031286713,0.081049435
207,stable,0.033956062,0.10863228
208,falling,0.018326508,0.011681083
209,falling,0.020494046,0.037637807
210,falling,0.0151208835,0.0068956763
211,falling,0.02096719,0.009248423
212,falling,0.013029019,0.011379896
213,falling,0.046350256,0.16771743
214,stable,0.04844145,0.15457775
215,stable,0.023943478,0.014260267
216,stable,0.024234837,0.006184791
217,stable,0.026643138,0.0072959876
218,stable,0.030495904,0.0052909167
219,stable,0.03324267,0.0074428148
220,rising,0.036068723,0.016456839
221,rising,0.051785227,0.08037162
222,rising,0.05340655,0.014872159
223,rising,0.05079942,0.01534591
224,rising,0.04502369,0.007823183
225,rising,0.054975253,0.0430256
226,rising,0.07054794,0.08674041
227,stable,0.07270954,0.11053739
228,stable,0.04066121,0.009495554
229,stable,0.043476768,0.01928498
230,stable,0.07112174,0.1346941
231,stable,0.040359795,0.014906215
232,falling,0.040971328,0.018994844
233,falling,0.04492963,0.040093362
234,falling,0.04494076,0.013755652
235,falling,0.063455984,0.02089478
236,falling,0.05908499,0.017901134
237,falling,0.06809565,0.13530552
238,falling,0.05181911,0.026964307
239,stable,0.061889127,0.033537824
240,stable,0.055098947,0.014941033
241,stable,0.08759284,0.18667376
242,stable,0.08273507,0.07070858
243,stable,0.07681128,0.015717054
244,rising,0.08322059,0.037669957
245,rising,0.08237418,0.02423543
